,Province_State,Country_Region,Lat,Long,Date,Confirmed,Deaths,Recovered
148407,Anguilla,United Kingdom,18.2206,-63.0686,2021-07-06,111,0,109
148408,Bermuda,United Kingdom,32.3078,-64.7505,2021-07-06,2521,33,2473
148409,British Virgin Islands,United Kingdom,18.4207,-64.64,2021-07-06,456,1,300
148410,Cayman Islands,United Kingdom,19.3133,-81.2546,2021-07-06,615,2,609
148411,Channel Islands,United Kingdom,49.3723,-2.3644,2021-07-06,4798,86,4078
148412,Falkland Islands (Malvinas),United Kingdom,-51.7963,-59.5236,2021-07-06,63,0,63
148413,Gibraltar,United Kingdom,36.1408,-5.3536,2021-07-06,4379,94,4243
148414,Isle of Man,United Kingdom,54.2361,-4.5481,2021-07-06,1643,29,1571
148415,Montserrat,United Kingdom,16.742498,-62.187366,2021-07-06,20,1,19
148416,"Saint Helena, Ascension and Tristan da Cunha",United Kingdom,-7.9467,-14.3559,2021-07-06,4,0,4
148417,Turks and Caicos Islands,United Kingdom,21.694,-71.7979,2021-07-06,2425,18,2398
148418,,United Kingdom,55.3781,-3.436,2021-07-06,4958868,128268,0
148419,,Uruguay,-32.5228,-55.7658,2021-07-06,374019,5735,358305
148420,,Uzbekistan,41.377491,64.585262,2021-07-06,113568,754,109349
148421,,Vanuatu,-15.3767,166.9592,2021-07-06,4,1,3
148422,,Venezuela,6.4238,-66.5897,2021-07-06,279813,3222,261411
148423,,Vietnam,14.058324,108.277199,2021-07-06,22341,97,8077
148424,,West Bank and Gaza,31.9522,35.2332,2021-07-06,314780,3576,309059
148425,,Yemen,15.552727,48.516388,2021-07-06,6931,1363,4111
148426,,Zambia,-13.133897,27.849332,2021-07-06,167132,2559,147751
148427,,Zimbabwe,-19.015438,29.154857,2021-07-06,57963,1939,41624
